axis:latitude,axis:longitude,axis:reftime,axis:time,axis:z,data:vgrd_m
32.5,-118.75000000000001,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-3.9479002952575684
32.5,-118.49999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-3.907900333404541
32.5,-118.25000000000003,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-3.727900266647339
32.5,-117.99999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-3.657900333404541
32.5,-117.75000000000003,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-3.7479002475738525
32.5,-117.49999999999999,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-3.8679003715515137
32.5,-117.25000000000003,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-3.8079001903533936
34.75,-121.25,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,-6.006814002990723
34.75,-120.99999999999997,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,-5.436813831329346
34.75,-120.75000000000001,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,-5.136813640594482
34.75,-120.49999999999997,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,-3.226813793182373
34.75,-120.25000000000001,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,-1.706813931465149
34.75,-119.99999999999997,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,-0.6368139386177063
34.75,-119.75000000000001,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,-0.9368139505386353
34.75,-119.49999999999997,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,-2.8268139362335205
34.75,-119.25000000000001,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,-3.73681378364563
34.75,-118.99999999999997,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,-2.29681396484375
34.75,-118.75000000000001,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,-2.9568138122558594
34.75,-118.49999999999997,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,1.6831860542297363
34.75,-118.25000000000003,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,4.963185787200928
34.75,-117.99999999999997,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,5.353186130523682
34.75,-117.75000000000003,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,3.563185930252075
34.75,-117.49999999999999,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,2.2231860160827637
34.75,-117.25000000000003,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,4.823185920715332
34.5,-121.25,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,-6.616813659667969
34.5,-120.99999999999997,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,-6.566813945770264
34.5,-120.75000000000001,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,-7.256814002990723
34.5,-120.49999999999997,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,-5.866813659667969
34.5,-120.25000000000001,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,-4.436813831329346
34.5,-119.99999999999997,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,-2.7568140029907227
34.5,-119.75000000000001,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,-0.9368139505386353
34.5,-119.49999999999997,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,0.6431860327720642
34.5,-119.25000000000001,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,1.2131860256195068
34.5,-118.99999999999997,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,0.8431860208511353
34.5,-118.75000000000001,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,1.1531859636306763
34.5,-118.49999999999997,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,0.4831860363483429
34.5,-118.25000000000003,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,1.8831859827041626
34.5,-117.99999999999997,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,2.8631858825683594
34.5,-117.75000000000003,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,2.503185987472534
34.5,-117.49999999999999,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,3.753185987472534
34.5,-117.25000000000003,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,6.983185768127441
34.25,-121.25,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,-6.906813621520996
34.25,-120.99999999999997,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,-7.006814002990723
34.25,-120.75000000000001,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,-7.626813888549805
34.25,-120.49999999999997,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,-7.316813945770264
34.25,-120.25000000000001,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,-5.286813735961914
34.25,-119.99999999999997,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,-3.366813898086548
34.25,-119.75000000000001,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,-0.2368139624595642
34.25,-119.49999999999997,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,1.4331860542297363
34.25,-119.25000000000001,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,0.8331860303878784
34.25,-118.99999999999997,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,1.4431860446929932
34.25,-118.75000000000001,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,-0.3268139660358429
34.25,-118.49999999999997,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,1.5931860208511353
34.25,-118.25000000000003,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,2.1731860637664795
34.25,-117.99999999999997,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,1.7231860160827637
34.25,-117.75000000000003,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,1.8431860208511353
34.25,-117.49999999999999,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,2.5531859397888184
34.25,-117.25000000000003,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,3.4131860733032227
34.0,-121.25,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,-7.206813812255859
