axis:latitude,axis:longitude,axis:reftime,axis:time,axis:z,data:ugrd_m
33.25,-119.25000000000001,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,7.041528224945068
33.25,-118.99999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,6.261528015136719
33.25,-118.75000000000001,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,5.141528129577637
33.25,-118.49999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,4.101528167724609
33.25,-118.25000000000003,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,3.6415281295776367
33.25,-117.99999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,3.3515281677246094
33.25,-117.75000000000003,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,3.5215282440185547
33.25,-117.49999999999999,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,3.5315282344818115
33.25,-117.25000000000003,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,2.5215282440185547
33.0,-121.25,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,4.251528263092041
33.0,-120.99999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,4.461528301239014
33.0,-120.75000000000001,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,4.551528453826904
33.0,-120.49999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,4.821528434753418
33.0,-120.25000000000001,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,5.221528053283691
33.0,-119.99999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,5.721528053283691
33.0,-119.75000000000001,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,6.041528224945068
33.0,-119.49999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,6.381528377532959
33.0,-119.25000000000001,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,6.371528148651123
33.0,-118.99999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,6.011528015136719
33.0,-118.75000000000001,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,5.561528205871582
33.0,-118.49999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,5.491528034210205
33.0,-118.25000000000003,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,5.701528072357178
33.0,-117.99999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,5.621528148651123
33.0,-117.75000000000003,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,4.681528091430664
33.0,-117.49999999999999,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,2.9815282821655273
33.0,-117.25000000000003,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,2.501528263092041
32.75,-121.25,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,3.7915282249450684
32.75,-120.99999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,3.8915281295776367
32.75,-120.75000000000001,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,4.111528396606445
32.75,-120.49999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,4.361528396606445
32.75,-120.25000000000001,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,4.701528072357178
32.75,-119.99999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,5.121528148651123
32.75,-119.75000000000001,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,5.391528129577637
32.75,-119.49999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,5.391528129577637
32.75,-119.25000000000001,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,5.511528015136719
32.75,-118.99999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,5.641528129577637
32.75,-118.75000000000001,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,5.491528034210205
32.75,-118.49999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,5.501528263092041
32.75,-118.25000000000003,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,5.711528301239014
32.75,-117.99999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,5.521528244018555
32.75,-117.75000000000003,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,4.481528282165527
32.75,-117.49999999999999,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,2.7915282249450684
32.75,-117.25000000000003,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,2.7315282821655273
32.5,-121.25,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,3.2915282249450684
32.5,-120.99999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,3.511528253555298
32.5,-120.75000000000001,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,3.801528215408325
32.5,-120.49999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,4.001528263092041
32.5,-120.25000000000001,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,4.211528301239014
32.5,-119.99999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,4.381528377532959
32.5,-119.75000000000001,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,4.551528453826904
32.5,-119.49999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,4.821528434753418
32.5,-119.25000000000001,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,5.031527996063232
32.5,-118.99999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,5.041528224945068
32.5,-118.75000000000001,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,5.141528129577637
32.5,-118.49999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,5.391528129577637
32.5,-118.25000000000003,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,5.451528072357178
32.5,-117.99999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,5.201528072357178
32.5,-117.75000000000003,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,4.281527996063232
32.5,-117.49999999999999,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,2.761528253555298
32.5,-117.25000000000003,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,2.3315281867980957
34.75,-121.25,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,5.386620998382568
34.75,-120.99999999999997,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,4.516621112823486
34.75,-120.75000000000001,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,2.5066211223602295
34.75,-120.49999999999997,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,3.0166211128234863
34.75,-120.25000000000001,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,2.916620969772339
34.75,-119.99999999999997,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,2.466620922088623
34.75,-119.75000000000001,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,2.296621084213257
34.75,-119.49999999999997,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,0.8666210770606995
34.75,-119.25000000000001,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,0.4066210985183716
